Iteration,Objective,Score,MinOut,MaxOut,stdDevMinOutPos,stdDevMinOutNeg,StdDevMaxOutPos,StdDevMaxOutNeg,HyperplanePercentage
0,2.9884e+06,0,-0.00485881,2e-06,0.00277427,0.00273785,-nan,0,1.33844e-15
1,2.96539e+06,0,-0.0143936,-nan,0.00274118,0.00270585,-nan,-nan,1.34876e-15
2,2.94265e+06,0,-0.0238162,-nan,0.00270845,0.0026733,-nan,-nan,1.35912e-15
3,2.92019e+06,0,-0.0331265,-nan,0.00267612,0.00264114,-nan,-nan,1.36951e-15
4,2.89799e+06,0,-0.0423256,-nan,0.00264417,0.00260936,-nan,-nan,1.37994e-15
5,2.87605e+06,0,-0.0514151,-nan,0.0026126,0.00257796,-nan,-nan,1.39039e-15
6,2.85438e+06,0,-0.0603961,-nan,0.0025814,0.00254693,-nan,-nan,1.40088e-15
7,2.83297e+06,0,-0.06927,-nan,0.00255058,0.00251628,-nan,-nan,1.41141e-15
8,2.81181e+06,0,-0.0780381,-nan,0.00252013,0.00248599,-nan,-nan,1.42196e-15
9,2.7909e+06,0,-0.0867016,-nan,0.00249004,0.00245606,-nan,-nan,1.43254e-15
10,2.77024e+06,0,-0.0952617,-nan,0.00246031,0.00242649,-nan,-nan,1.44315e-15
11,2.74983e+06,0,-0.10372,-nan,0.00243094,0.00239727,-nan,-nan,1.4538e-15
12,2.72967e+06,0,-0.112077,-nan,0.00240231,0.00236801,-nan,-nan,1.46447e-15
13,2.70974e+06,0,-0.120334,-nan,0.00237363,0.00233949,-nan,-nan,1.47516e-15
14,2.69005e+06,0,-0.128493,-nan,0.00234529,0.0023113,-nan,-nan,1.48589e-15
15,2.6706e+06,0,-0.136555,-nan,0.00231729,0.00228346,-nan,-nan,1.49664e-15
16,2.65138e+06,0,-0.14452,-nan,0.00228962,0.00225595,-nan,-nan,1.50742e-15
17,2.63238e+06,0,-0.152391,-nan,0.00226228,0.00222876,-nan,-nan,1.51822e-15
18,2.61362e+06,0,-0.160167,-nan,0.00223527,0.0022019,-nan,-nan,1.52905e-15
19,2.59507e+06,0,-0.167851,-nan,0.00220858,0.00217536,-nan,-nan,1.5399e-15
20,2.57675e+06,0,-0.175443,-nan,0.0021822,0.00214914,-nan,-nan,1.55078e-15
21,2.55865e+06,0,-0.182945,-nan,0.00215615,0.00212323,-nan,-nan,1.56167e-15
22,2.54076e+06,0,-0.190357,-nan,0.0021304,0.00209763,-nan,-nan,1.57259e-15
23,2.52309e+06,0,-0.197681,-nan,0.00210531,0.00207199,-nan,-nan,1.58353e-15
24,2.50563e+06,0,-0.204917,-nan,0.00208018,0.002047,-nan,-nan,1.59449e-15
25,2.48838e+06,0,-0.212067,-nan,0.00205534,0.00202231,-nan,-nan,1.60547e-15
26,2.47133e+06,0,-0.219132,-nan,0.00203079,0.00199791,-nan,-nan,1.61647e-15
27,2.45448e+06,0,-0.226112,-nan,0.00200654,0.00197381,-nan,-nan,1.62748e-15
28,2.43784e+06,0,-0.233009,-nan,0.00198258,0.00194999,-nan,-nan,1.63852e-15
29,2.42139e+06,0,-0.239824,-nan,0.00195891,0.00192645,-nan,-nan,1.64956e-15
30,2.40514e+06,0,-0.246558,-nan,0.00193552,0.0019032,-nan,-nan,1.66063e-15
31,2.38909e+06,0,-0.253211,-nan,0.0019124,0.00188022,-nan,-nan,1.67171e-15
32,2.37322e+06,0,-0.259785,-nan,0.00188957,0.00185752,-nan,-nan,1.6828e-15
33,2.35755e+06,0,-0.266281,-nan,0.00186731,0.00183478,-nan,-nan,1.69391e-15
34,2.34206e+06,0,-0.272699,-nan,0.00184501,0.00181262,-nan,-nan,1.70503e-15
35,2.32676e+06,0,-0.27904,-nan,0.00182298,0.00179073,-nan,-nan,1.71616e-15
36,2.31164e+06,0,-0.285306,-nan,0.00180121,0.00176909,-nan,-nan,1.7273e-15
37,2.2967e+06,0,-0.291497,-nan,0.0017797,0.00174772,-nan,-nan,1.73846e-15
38,2.28194e+06,0,-0.297615,-nan,0.00175845,0.0017266,-nan,-nan,1.74962e-15
39,2.26735e+06,0,-0.303659,-nan,0.00173745,0.00170573,-nan,-nan,1.76079e-15
